Road length which is dual carriageway (kilometres) by road type and local authority in Great Britain, 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Table RDL0202b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Department for Transport statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Road lengths statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes are used throughout this table, please see the notes tab to find the related notes text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shorthand is used in this table. [-] denotes that there are no notes related to this row;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Values in this table may not sum due to rounding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ONS Area 
Code";Region;Local Authority;Trunk motorways;Principal motorways;All motorways;Trunk rural 'A' roads;Trunk urban 'A' roads;Principal rural 'A' roads;Principal urban 'A' roads;All 'A' roads;All trunk;All principal;Total dual carriageway;Notes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E09000010;London;Enfield;11,2;0,0;11,2;0,0;0,0;2,3;19,0;21,3;11,2;21,3;32,5;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E09000011;London;Greenwich;0,0;0,0;0,0;0,0;0,0;0,0;31,1;31,1;0,0;31,1;31,1;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E09000012;London;Hackney;0,0;0,0;0,0;0,0;0,0;0,5;3,5;4,0;0,0;4,0;4,0;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E09000013;London;Hammersmith and Fulham;0,0;0,0;0,0;0,0;0,0;0,0;6,8;6,8;0,0;6,8;6,8;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E09000014;London;Haringey;0,0;0,0;0,0;0,0;0,0;0,0;3,9;3,9;0,0;3,9;3,9;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E09000015;London;Harrow;1,0;0,0;1,0;0,0;0,0;0,0;6,9;6,9;1,0;6,9;7,9;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E09000016;London;Havering;11,8;0,0;11,8;0,0;0,0;13,4;15,7;29,1;11,8;29,1;40,9;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E09000017;London;Hillingdon;10,5;0,0;10,5;0,9;0,2;3,4;30,4;34,9;11,6;33,8;45,4;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E09000018;London;Hounslow;9,8;0,0;9,8;0,0;0,0;1,5;27,4;28,9;9,8;28,9;38,7;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E09000019;London;Islington;0,0;0,0;0,0;0,0;0,0;0,0;2,0;2,0;0,0;2,0;2,0;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
