Road length (kilometres) by road type and local authority in Great Britain, 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Table RDL0202a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Department for Transport statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Road lengths statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes are used throughout this table, please see the notes tab to find the related notes text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shorthand is used in this table. [-] denotes that there are no notes related to this row;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Values in this table may not sum due to rounding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ONS Area 
Code";Region;Local Authority;Trunk motorways;Principal motorways;All motorways;Trunk rural 'A' roads;Trunk urban 'A' roads;Principal rural 'A' roads;Principal urban 'A' roads;All 'A' roads;Major trunk roads;Major principal roads;All major roads;Rural 'B' roads;Urban 'B' roads;Rural 'C and U' roads;Urban 'C and U' roads;All minor roads;Total road length ;Notes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000050;North West;Cheshire West and Chester UA;40,9;0,0;40,9;32,3;2,0;216,8;71,0;322,1;75,2;287,8;363,0;109,3;32,2;1.087,5;715,7;1.944,6;2.307,6;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000063;North West;Cumberland;25,1;0,0;25,1;85,1;4,7;290,9;25,9;406,6;114,9;316,8;431,7;288,3;12,8;2.571,0;419,5;3.291,6;3.723,3;[Note 1] [Note 4] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000006;North West;Halton UA;6,4;0,0;6,4;0,0;0,0;27,2;27,4;54,6;6,4;54,6;61,0;2,9;13,5;95,1;426,5;537,9;598,9;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000011;North West;Knowsley ;18,2;5,5;23,7;1,1;0,0;26,6;22,9;50,6;19,3;55,0;74,3;8,7;12,6;64,6;441,2;527,2;601,5;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E10000017;North West;Lancashire ;154,8;12,5;167,3;25,9;10,4;455,5;226,3;718,1;191,1;694,3;885,4;309,0;148,1;2.912,0;2.844,3;6.213,3;7.098,7;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000012;North West;Liverpool;0,0;1,0;1,0;0,0;0,0;2,9;122,6;125,5;0,0;126,5;126,5;0,5;37,4;24,5;1.242,3;1.304,6;1.431,1;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000003;North West;Manchester;15,9;3,7;19,6;0,8;1,4;3,9;112,1;118,2;18,1;119,7;137,8;1,8;37,7;7,9;1.221,6;1.269,0;1.406,8;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000004;North West;Oldham ;8,3;0,0;8,3;0,1;4,4;34,7;60,1;99,3;12,8;94,8;107,6;7,7;25,8;71,1;620,0;724,6;832,2;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000005;North West;Rochdale;25,8;0,0;25,8;0,0;0,0;25,0;60,3;85,3;25,8;85,3;111,1;7,0;17,7;66,7;587,5;678,9;790,0;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000006;North West;Salford;28,0;0,0;28,0;0,0;0,0;13,2;76,8;90,0;28,0;90,0;118,0;0,4;32,2;27,3;638,5;698,5;816,5;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
